precision,emd,noise 5%,noise 10%,noise 15%,noise 20%,batch_size,learning_rate,type
2,2.7286898295084634,3.267748753229777,3.4784892400105796,3.6430938243865967,3.761252482732137,32,0.0015625,30% noise injection
3,1.9189259608586628,2.666520277659098,2.9396918217341104,3.1397640705108643,3.2914298375447593,32,0.0015625,30% noise injection
4,1.6893940766652424,2.58339258035024,2.9835480451583862,3.285151720046997,3.513655702273051,32,0.0015625,30% noise injection
5,1.4532424608866374,2.4785104990005493,2.851839542388916,3.0938251415888467,3.2627105712890625,32,0.0015625,30% noise injection
6,1.339352011680603,2.3852874040603638,2.7703842719395957,3.0276617209116616,3.1975756883621216,32,0.0015625,30% noise injection
7,1.37736972173055,2.3968887329101562,2.7956318457921348,3.0448601245880127,3.218519647916158,32,0.0015625,30% noise injection
8,1.214113712310791,2.2741731802622476,2.678509473800659,2.9518704811731973,3.1062260468800864,32,0.0015625,30% noise injection
9,1.4000706672668457,2.343427578608195,2.707083582878113,2.9643284479777017,3.1330471436182656,32,0.0015625,30% noise injection
10,1.330939253171285,2.2514933347702026,2.630917191505432,2.864458123842875,3.0156609217325845,32,0.0015625,30% noise injection
11,1.3018364906311035,2.2396589517593384,2.6328542232513428,2.9087420304616294,3.0904341538747153,32,0.0015625,30% noise injection
2,2.7413942019144693,3.408931334813436,3.5892066955566406,3.728780428568522,3.815667470296224,32,0.0015625,50% noise injection
3,1.8320024808247883,2.5204886198043823,2.789922912915548,2.9910613298416138,3.1451887289683023,32,0.0015625,50% noise injection
4,1.6510461171468098,2.533082365989685,2.877822438875834,3.1407862106959024,3.3294578790664673,32,0.0015625,50% noise injection
5,1.514824668566386,2.478839953740438,2.837037682533264,3.0735232830047607,3.2164660692214966,32,0.0015625,50% noise injection
6,1.3545480966567993,2.3106348514556885,2.755284309387207,3.0826188723246255,3.3113377888997397,32,0.0015625,50% noise injection
7,1.4020934104919434,2.3385632832845054,2.733060042063395,3.0066100358963013,3.1965362628300986,32,0.0015625,50% noise injection
8,1.379341681798299,2.3375792105992637,2.6511579354604087,2.8747273286183677,3.027482509613037,32,0.0015625,50% noise injection
9,1.378788669904073,2.2879278659820557,2.6520710786183677,2.9017275174458823,3.072103261947632,32,0.0015625,50% noise injection
10,1.3417118787765503,2.2625916798909507,2.661919116973877,2.947052558263143,3.111012578010559,32,0.0015625,50% noise injection
11,1.3847314516703289,2.3715586264928183,2.7373058001200357,2.9759793281555176,3.139758586883545,32,0.0015625,50% noise injection
2,2.8538827101389566,3.397087891896566,3.5833353996276855,3.728762706120809,3.8241329193115234,32,0.0015625,80% noise injection
3,1.9201950629552205,2.7343472639719644,2.9698142210642495,3.160048166910807,3.3001797993977866,32,0.0015625,80% noise injection
4,1.6659517288208008,2.4511188666025796,2.766913135846456,2.9937673012415567,3.1670689980189004,32,0.0015625,80% noise injection
5,1.5066064993540447,2.2702736059824624,2.6562255223592124,2.9189202785491943,3.1024550199508667,32,0.0015625,80% noise injection
6,1.4903003772099812,2.411888917287191,2.7697278261184692,3.045000592867533,3.226060152053833,32,0.0015625,80% noise injection
7,1.4709705511728923,2.3660776615142822,2.7757985591888428,3.0679450035095215,3.248522241910299,32,0.0015625,80% noise injection
8,1.3972618579864502,2.3523341019948325,2.7237539291381836,2.9666691223780313,3.135269045829773,32,0.0015625,80% noise injection
9,1.372362454732259,2.211756189664205,2.681717356046041,2.9745909770329795,3.157305677731832,32,0.0015625,80% noise injection
10,1.3595712582270305,2.275556127230326,2.669227679570516,2.94949201742808,3.1324654817581177,32,0.0015625,80% noise injection
11,1.3472377061843872,2.110833684603373,2.639524062474569,2.999276280403137,3.146810452143351,32,0.0015625,80% noise injection
2,2.717787424723307,3.0324893792470298,3.19115948677063,3.329336643218994,3.4331017335255942,64,0.0015625,30% noise injection
3,1.8245442708333333,2.452503800392151,2.7058614095052085,2.917587955792745,3.081015110015869,64,0.0015625,30% noise injection
4,1.6236873467763264,2.337436040242513,2.616115093231201,2.7950329780578613,2.9010592699050903,64,0.0015625,30% noise injection
5,1.488279104232788,2.291393756866455,2.655255993207296,2.8934189875920615,3.050584554672241,64,0.0015625,30% noise injection
6,1.4075841108957927,2.3019974629084268,2.67535130182902,2.921940644582113,3.090912699699402,64,0.0015625,30% noise injection
7,1.4264201720555623,2.294477184613546,2.60393226146698,2.7967748641967773,2.927771727244059,64,0.0015625,30% noise injection
8,1.2948033809661865,2.1662023067474365,2.540315349896749,2.7796604235967,2.9201011260350547,64,0.0015625,30% noise injection
9,1.3480818669001262,2.272000034650167,2.7103395064671836,2.9701371987660727,3.137225945790609,64,0.0015625,30% noise injection
10,1.300321102142334,2.1578224102656045,2.4987064202626548,2.734222094217936,2.887280583381653,64,0.0015625,30% noise injection
11,1.291096289952596,2.199187954266866,2.6330320040384927,2.876542011896769,3.021998325983683,64,0.0015625,30% noise injection
2,2.9305032094319663,3.305182774861654,3.4238533973693848,3.535025119781494,3.6120404402414956,64,0.0015625,50% noise injection
3,1.8171323140462239,2.3943152825037637,2.655987103780111,2.852413296699524,3.0118233362833657,64,0.0015625,50% noise injection
4,1.6178073088328044,2.304533084233602,2.5907368659973145,2.794852614402771,2.9463125467300415,64,0.0015625,50% noise injection
5,1.4606081644694011,2.265138586362203,2.6597612301508584,2.903807838757833,3.055572509765625,64,0.0015625,50% noise injection
6,1.4663544098536174,2.238009293874105,2.5738747119903564,2.807599743207296,2.955474297205607,64,0.0015625,50% noise injection
7,1.398430307706197,2.1786150137583413,2.5739219188690186,2.853457808494568,3.0295066436131797,64,0.0015625,50% noise injection
8,1.368363579114278,2.24480406443278,2.578183134396871,2.784530520439148,2.918757677078247,64,0.0015625,50% noise injection
9,1.313241442044576,2.045819958051046,2.4358466466267905,2.657614509264628,2.8011690775553384,64,0.0015625,50% noise injection
10,1.310846209526062,2.1539005041122437,2.591113011042277,2.839050849278768,2.98205836613973,64,0.0015625,50% noise injection
11,1.3172398805618286,2.1707140604654946,2.547468066215515,2.7968371709187827,2.966431458791097,64,0.0015625,50% noise injection
2,2.9904202620188394,3.30056103070577,3.4052696228027344,3.48936128616333,3.5485978921254477,64,0.0015625,80% noise injection
3,1.7653748989105225,2.4897141059239707,2.7613632678985596,2.980111598968506,3.149331291516622,64,0.0015625,80% noise injection
4,1.625584602355957,2.314661741256714,2.5922399759292603,2.7823559045791626,2.9318897326787314,64,0.0015625,80% noise injection
5,1.5260748863220215,2.2868278423945108,2.609036087989807,2.825816512107849,2.981133143107096,64,0.0015625,80% noise injection
6,1.4704184929529827,2.2540484269460044,2.5887728929519653,2.8266276121139526,2.9828155040740967,64,0.0015625,80% noise injection
7,1.396582841873169,2.195964217185974,2.5590604146321616,2.7952568531036377,2.9477458397547402,64,0.0015625,80% noise injection
8,1.4089394807815552,2.2270166873931885,2.589242855707804,2.8292684157689414,2.98271377881368,64,0.0015625,80% noise injection
9,1.3772985537846882,2.1543920040130615,2.5421857436498008,2.776267965634664,2.9140841166178384,64,0.0015625,80% noise injection
10,1.4295648733774822,2.219092051188151,2.609693249066671,2.866970658302307,3.022682785987854,64,0.0015625,80% noise injection
11,1.3823649088541667,2.2048974434534707,2.5357014338175454,2.754519065221151,2.8963729540506997,64,0.0015625,80% noise injection
2,2.8178200721740723,3.0330212910970054,3.1471823851267495,3.2453912099202475,3.3189582029978433,128,0.0015625,30% noise injection
3,1.7952367067337036,2.248200217882792,2.496996283531189,2.6953049103418985,2.8472570975621543,128,0.0015625,30% noise injection
4,1.559049089749654,2.1948355436325073,2.5061675310134888,2.7563907305399575,2.938229560852051,128,0.0015625,30% noise injection
5,1.4833446343739827,2.1787211894989014,2.4707185427347818,2.652570287386576,2.7681132157643638,128,0.0015625,30% noise injection
6,1.473929524421692,2.1623544692993164,2.5209196408589682,2.759540836016337,2.9094587167104087,128,0.0015625,30% noise injection
7,1.3805755376815796,2.1820667584737143,2.530787150065104,2.716044863065084,2.8286080757776895,128,0.0015625,30% noise injection
8,1.2984182437260945,1.997556249300639,2.2914469639460244,2.49169385433197,2.618709166844686,128,0.0015625,30% noise injection
9,1.3761242628097534,2.0834317207336426,2.3989683787027993,2.5996490716934204,2.723317265510559,128,0.0015625,30% noise injection
10,1.4056582848230998,2.1533259948094687,2.5052536725997925,2.7552440563837686,2.937169313430786,128,0.0015625,30% noise injection
11,1.3038122653961182,2.035374164581299,2.3695808251698813,2.5982579787572226,2.747999827067057,128,0.0015625,30% noise injection
2,2.905545393625895,3.100535790125529,3.226515452067057,3.3231867949167886,3.3937954107920327,128,0.0015625,50% noise injection
3,1.7554693222045898,2.2231648365656533,2.4761253595352173,2.6833989222844443,2.840594450632731,128,0.0015625,50% noise injection
4,1.539098580678304,2.141922394434611,2.428627093633016,2.638368527094523,2.7866334120432534,128,0.0015625,50% noise injection
5,1.5127060810724895,2.1686687072118125,2.5105408827463784,2.7009729146957397,2.8051851193110147,128,0.0015625,50% noise injection
6,1.4055641094843547,2.075165788332621,2.3750728368759155,2.5628718932469687,2.6824941635131836,128,0.0015625,50% noise injection
7,1.3948558966318767,2.039034684499105,2.3395928144454956,2.526552359263102,2.6335021257400513,128,0.0015625,50% noise injection
8,1.3852729002634685,2.0993597904841104,2.46746563911438,2.694755514462789,2.8255130449930825,128,0.0015625,50% noise injection
9,1.3565628131230671,2.0578132470448813,2.387134591738383,2.604626178741455,2.75012735525767,128,0.0015625,50% noise injection
10,1.4299383163452148,2.1449902852376304,2.464247465133667,2.690728028615316,2.830373843510946,128,0.0015625,50% noise injection
11,1.3680266936620076,2.086603323618571,2.4318083127339682,2.6224512656529746,2.750079075495402,128,0.0015625,50% noise injection
2,2.987195094426473,3.1159117221832275,3.263815482457479,3.370119094848633,3.449977000554403,128,0.0015625,80% noise injection
3,1.796311616897583,2.287785371144613,2.5522164503733316,2.778325835863749,2.952462832132975,128,0.0015625,80% noise injection
4,1.567090113957723,2.1609899600346885,2.4522501627604165,2.6343271334966025,2.7614340782165527,128,0.0015625,80% noise injection
5,1.4794044891993205,2.080715775489807,2.3878467082977295,2.606803814570109,2.7396389643351235,128,0.0015625,80% noise injection
6,1.4418383439381917,2.1338555018107095,2.4395334720611572,2.6290683348973594,2.7448228200276694,128,0.0015625,80% noise injection
7,1.4310065110524495,2.115485191345215,2.453185558319092,2.6893304189046225,2.8426053524017334,128,0.0015625,80% noise injection
8,1.40016508102417,2.0254905223846436,2.431502858797709,2.6914441188176474,2.8514699935913086,128,0.0015625,80% noise injection
9,1.399399717648824,2.0550972620646157,2.371891220410665,2.600981831550598,2.764057199160258,128,0.0015625,80% noise injection
10,1.4279484351476033,2.166044274965922,2.624209443728129,2.926475246747335,3.1264158487319946,128,0.0015625,80% noise injection
11,1.4001404444376628,2.056319077809652,2.4227739572525024,2.623776396115621,2.739185889561971,128,0.0015625,80% noise injection
2,3.2123495737711587,3.5210442543029785,3.742466767628988,3.9354445139567056,4.094923337300618,256,0.0015625,30% noise injection
3,1.808191219965617,2.39095938205719,2.6640186309814453,2.8712295293807983,3.0148244301478067,256,0.0015625,30% noise injection
4,1.6161810159683228,2.348917007446289,2.6721560955047607,2.8742610216140747,3.0198372999827066,256,0.0015625,30% noise injection
5,1.4824672142664592,2.2456286748250327,2.542541821797689,2.7205730279286704,2.8327180544535318,256,0.0015625,30% noise injection
6,1.3879716396331787,2.2286380529403687,2.616490125656128,2.858253240585327,3.003970742225647,256,0.0015625,30% noise injection
7,1.405990481376648,2.204830606778463,2.5807897647221885,2.834384481112162,2.999826431274414,256,0.0015625,30% noise injection
8,1.380871057510376,2.2580646673838296,2.6239012082417807,2.8419731060663858,2.981528560320536,256,0.0015625,30% noise injection
9,1.4726370175679524,2.1976507902145386,2.5753310124079385,2.8153573274612427,2.964805483818054,256,0.0015625,30% noise injection
10,1.4573568900426228,2.0470626751581826,2.3964126110076904,2.6246240536371865,2.7666571935017905,256,0.0015625,30% noise injection
11,1.3300440311431885,2.150381167729696,2.4587337970733643,2.6569865942001343,2.773874799410502,256,0.0015625,30% noise injection
2,2.9541420936584473,3.2030046780904136,3.316403309504191,3.4228783448537192,3.5021111965179443,256,0.0015625,50% noise injection
3,1.7795404195785522,2.3347845872243247,2.5975046952565513,2.8005072673161826,2.958872636159261,256,0.0015625,50% noise injection
4,1.743086854616801,2.285709261894226,2.5828638871510825,2.7977997859319053,2.9374467929204306,256,0.0015625,50% noise injection
5,1.5067800680796306,2.1878603299458823,2.530228773752848,2.7246481577555337,2.8357520500818887,256,0.0015625,50% noise injection
6,1.4339810212453206,2.192747433980306,2.553937315940857,2.7669326066970825,2.8962283929189048,256,0.0015625,50% noise injection
7,1.4354742765426636,2.16306742032369,2.48978062470754,2.697084347407023,2.8288870652516684,256,0.0015625,50% noise injection
8,1.3400004704793294,2.085155725479126,2.404216249783834,2.607316493988037,2.746477166811625,256,0.0015625,50% noise injection
9,1.3954439163208008,2.1709763209025064,2.5594636599222818,2.814429442087809,2.9837334950764975,256,0.0015625,50% noise injection
10,1.4760228395462036,2.2051936785380044,2.640625834465027,2.8855357567469277,3.0346326430638633,256,0.0015625,50% noise injection
11,1.4236081043879192,2.188587784767151,2.5438083012898765,2.7689034938812256,2.9114768505096436,256,0.0015625,50% noise injection
2,3.3123992681503296,3.252401351928711,3.3543099562327066,3.4390167395273843,3.5107506116231284,256,0.0015625,80% noise injection
3,1.7532672484715779,2.3383551836013794,2.5952111085255942,2.802212953567505,2.961871067682902,256,0.0015625,80% noise injection
4,1.5655537048975627,2.2633041540781655,2.6148810386657715,2.844062606493632,2.9841953913370767,256,0.0015625,80% noise injection
5,1.6139372984568279,2.2414754231770835,2.5354856650034585,2.727518598238627,2.847811977068583,256,0.0015625,80% noise injection
6,1.4725600878397624,2.1798521677652993,2.45168399810791,2.6346677939097085,2.748989780743917,256,0.0015625,80% noise injection
7,1.4472781817118328,2.1008507013320923,2.4391014178593955,2.653029123942057,2.79884664217631,256,0.0015625,80% noise injection
8,1.6470386187235515,2.209124445915222,2.5594239632288613,2.7924508253733316,2.938077529271444,256,0.0015625,80% noise injection
9,1.5316238403320312,2.0948359171549478,2.4498775800069175,2.6474148432413735,2.765364090601603,256,0.0015625,80% noise injection
10,1.4401004711786907,2.1433345476786294,2.5200221935908,2.7700618902842202,2.9304647048314414,256,0.0015625,80% noise injection
11,1.426205317179362,2.1092321077982583,2.4628868897755942,2.6948171854019165,2.813255031903585,256,0.0015625,80% noise injection
2,3.183091084162394,3.1525535583496094,3.247573216756185,3.3263161977132163,3.385261615117391,512,0.0015625,30% noise injection
3,1.9296402136484783,2.472855726877848,2.693997780481974,2.8807288805643716,3.0249298413594565,512,0.0015625,30% noise injection
4,1.7238433758417766,2.318730433781942,2.6470237175623574,2.874823212623596,3.020469864209493,512,0.0015625,30% noise injection
5,1.4868017037709553,2.227607488632202,2.5730963150660195,2.7838244835535684,2.912599802017212,512,0.0015625,30% noise injection
6,1.5021958748499553,2.2360049883524575,2.61014986038208,2.873563289642334,3.0577868620554605,512,0.0015625,30% noise injection
7,1.4797520637512207,2.3373852173487344,2.720173716545105,2.938724954922994,3.0845415194829306,512,0.0015625,30% noise injection
8,1.6619696219762166,2.4514050086339316,2.861506621042887,3.1051863034566245,3.2650040785471597,512,0.0015625,30% noise injection
9,1.4012433687845867,2.2244193156560264,2.561328132947286,2.779510974884033,2.9178707599639893,512,0.0015625,30% noise injection
10,1.5198732217152913,2.2399187882741294,2.5897762378056846,2.7891247272491455,2.9091463883717856,512,0.0015625,30% noise injection
11,1.5088071425755818,2.3559451500574746,2.7335352102915444,2.957797129948934,3.1067824761072793,512,0.0015625,30% noise injection
2,3.4687982400258384,3.4254067738850913,3.5660630067189536,3.678767442703247,3.7765048344930015,512,0.0015625,50% noise injection
3,1.8551111221313477,2.373527685801188,2.6199116309483848,2.8149123191833496,2.958239754041036,512,0.0015625,50% noise injection
4,1.663189133008321,2.2597227096557617,2.607936422030131,2.8703020016352334,3.0423080126444497,512,0.0015625,50% noise injection
5,1.5331131219863892,2.237338344256083,2.662326216697693,2.9296571811040244,3.0879807472229004,512,0.0015625,50% noise injection
6,1.4583291212717693,2.27524733543396,2.6938397884368896,2.9331117073694863,3.0846650203069053,512,0.0015625,50% noise injection
7,1.5335026184717815,2.2007213036219277,2.535197893778483,2.7604418198267617,2.89924418926239,512,0.0015625,50% noise injection
8,1.4732627471288045,2.2110427618026733,2.6002533038457236,2.8283607165018716,2.9579039812088013,512,0.0015625,50% noise injection
9,1.510671615600586,2.2127918004989624,2.6628368298212686,2.936471422513326,3.1095070441563926,512,0.0015625,50% noise injection
10,1.5144075552622478,2.2036392291386924,2.5541114012400308,2.7503092686335244,2.8617924451828003,512,0.0015625,50% noise injection
11,1.5802552302678425,2.196228543917338,2.5285940567652383,2.7453826665878296,2.8739968140920005,512,0.0015625,50% noise injection
2,3.2320761680603027,3.0538501739501953,3.1643525759379068,3.278132597605387,3.3503265380859375,512,0.0015625,80% noise injection
3,1.7842822472254436,2.3184699217478433,2.546160260836283,2.734906236330668,2.885401129722595,512,0.0015625,80% noise injection
4,1.714743932088216,2.2285940249760947,2.5222745339075723,2.7548137108484902,2.915735920270284,512,0.0015625,80% noise injection
5,1.7172315915425618,2.253763198852539,2.5689318577448526,2.7749796311060586,2.9091708660125732,512,0.0015625,80% noise injection
6,1.4602165619532268,2.100125034650167,2.46177872021993,2.7305808067321777,2.909452517827352,512,0.0015625,80% noise injection
7,1.420025904973348,2.1347874800364175,2.4888896147410073,2.735357403755188,2.900070865948995,512,0.0015625,80% noise injection
8,1.6418649752934773,2.3175016244252524,2.5769855976104736,2.7691500584284463,2.8958495457967124,512,0.0015625,80% noise injection
9,1.540230433146159,2.158995429674784,2.5256566603978476,2.767958164215088,2.913763721783956,512,0.0015625,80% noise injection
10,1.4440784056981404,2.1774175564448037,2.477808634440104,2.6770390272140503,2.805161714553833,512,0.0015625,80% noise injection
11,1.6766054034233093,2.296535929044088,2.6408267815907798,2.8545888662338257,2.9863913456598916,512,0.0015625,80% noise injection
2,3.3027148246765137,3.5348265965779624,3.688183863957723,3.8266964753468833,3.9221486250559487,1024,0.0015625,30% noise injection
3,1.7719908952713013,2.3716309467951455,2.5843971967697144,2.7624292373657227,2.892567197481791,1024,0.0015625,30% noise injection
4,1.7205026149749756,2.3240679105122886,2.647482395172119,2.8775678475697837,3.03528102238973,1024,0.0015625,30% noise injection
5,1.850488265355428,2.4255818923314414,2.7401196559270224,2.954691171646118,3.09399950504303,1024,0.0015625,30% noise injection
6,1.6875402530034382,2.1700236399968467,2.4679356813430786,2.677858074506124,2.8148836294809976,1024,0.0015625,30% noise injection
7,1.6569186051686604,2.2886205116907754,2.6810795068740845,2.916367212931315,3.058506409327189,1024,0.0015625,30% noise injection
8,1.6733534336090088,2.371489922205607,2.7104628483454385,2.920246720314026,3.06243896484375,1024,0.0015625,30% noise injection
9,1.5153526465098064,2.2372183799743652,2.650779366493225,2.9030845562616983,3.048569122950236,1024,0.0015625,30% noise injection
10,1.7946070830027263,2.256711006164551,2.639251391092936,2.8630876541137695,3.003148873647054,1024,0.0015625,30% noise injection
11,1.506258447964986,2.129095435142517,2.460374395052592,2.673835794130961,2.8128923177719116,1024,0.0015625,30% noise injection
2,2.9834233125050864,3.057976563771566,3.154181877772013,3.23079514503479,3.2796102364857993,1024,0.0015625,50% noise injection
3,2.077148199081421,2.441731890042623,2.663515567779541,2.8611090183258057,3.019993782043457,1024,0.0015625,50% noise injection
4,1.62049667040507,2.1860568126042685,2.478864232699076,2.6748267809549966,2.808271845181783,1024,0.0015625,50% noise injection
5,1.4976649681727092,2.207249919573466,2.537204464276632,2.757729689280192,2.891621390978495,1024,0.0015625,50% noise injection
6,1.7410622835159302,2.3790631691614785,2.746617635091146,2.963570753733317,3.1001954873402915,1024,0.0015625,50% noise injection
7,1.6254819234212239,2.3070364395777383,2.676916162172953,2.9081163009007773,3.0606653292973838,1024,0.0015625,50% noise injection
8,1.8761221965154011,2.286234656969706,2.605821371078491,2.810139815012614,2.945418953895569,1024,0.0015625,50% noise injection
9,1.7474559148152669,2.206115484237671,2.640636603037516,2.919738531112671,3.087598959604899,1024,0.0015625,50% noise injection
10,1.7848823070526123,2.423756957054138,2.7557523250579834,2.9538206259409585,3.071897109349569,1024,0.0015625,50% noise injection
11,1.7546087900797527,2.3125847975413003,2.671905517578125,2.8759027322133384,3.015537659327189,1024,0.0015625,50% noise injection
2,2.9872814814249673,3.059269666671753,3.2561236222585044,3.4229420820871987,3.509138027826945,1024,0.0015625,80% noise injection
3,1.8175387779871623,2.3980325857798257,2.6443169514338174,2.8313830693562827,2.9645247062047324,1024,0.0015625,80% noise injection
4,1.8465362389882405,2.3153350353240967,2.6514248847961426,2.9004890521367392,3.0756468375523887,1024,0.0015625,80% noise injection
5,1.745434562365214,2.3321187496185303,2.6848610242207847,2.918136239051819,3.0658414363861084,1024,0.0015625,80% noise injection
6,1.5891584157943726,2.2124014298121133,2.5304515759150186,2.7476933002471924,2.8907892306645713,1024,0.0015625,80% noise injection
7,1.612400770187378,2.235426584879557,2.6223827600479126,2.8442941904067993,2.981178363164266,1024,0.0015625,80% noise injection
8,1.753689706325531,2.332007129987081,2.6664962768554688,2.8805213371912637,3.02492622534434,1024,0.0015625,80% noise injection
9,1.5725417534510295,2.3085904916127524,2.646956205368042,2.8474671840667725,2.9780815045038858,1024,0.0015625,80% noise injection
10,1.6723072131474812,2.258430560429891,2.6292704741160073,2.8829074700673423,3.0433343251546225,1024,0.0015625,80% noise injection
11,1.6043481230735779,2.304405609766642,2.5826797087987265,2.7502164045969644,2.8625112771987915,1024,0.0015625,80% noise injection
